arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,num-cpu,bus_speed,runtime,power
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,1,6,4096,19737.1067,26.03743841
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,10,6,4096,19753.7671,29.80234084
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,11,6,4096,19914.6709,29.34761026
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,12,6,4096,19790.0728,28.91834738
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,2,6,4096,19892.6874,28.28102552
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,3,6,4096,19892.5611,28.50087011
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4,6,4096,20250.1416,26.92761911
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,5,6,4096,19903.0335,30.24154584
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,6,4096,20365.7783,29.90531916
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,7,6,4096,19706.743,30.48763055
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,8,6,4096,19907.1711,29.23819246
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,9,6,4096,19911.2251,30.63002889
IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,1,4,4096,24604.0011,13.31268027
IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,2,4,4096,25360.792,12.52000332
IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,3,4,4096,25475.4289,13.42225096
