arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,PS,num-cpu,bus_speed,runtime,power
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,1,100,6,4096,958.0853,25.77474052
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,10,100,6,4096,2034.8911,42.10903473
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,11,100,6,4096,3965.8928,47.19350962
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,12,100,6,4096,3467.8764,41.90599181
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,2,100,6,4096,547.6646,22.8798794
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,3,100,6,4096,480.93800000000005,34.91260828
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4,100,6,4096,398.3542,42.88545219
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,5,100,6,4096,419.1416,23.08074407
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,100,6,4096,429.7583,38.92769494
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,7,100,6,4096,716.5498,44.14808294
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,8,100,6,4096,681.42,38.10307886
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,9,100,6,4096,786.4968,42.90710401
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,1,150,6,4096,3200.0573,31.48781117
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,10,150,6,4096,3072.0146,58.42820539
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,11,150,6,4096,3670.8731,58.98553126
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,12,150,6,4096,4114.402,55.44256492
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,2,150,6,4096,1731.3598,42.624127
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,3,150,6,4096,1199.3883,34.13073147
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4,150,6,4096,1126.2756,53.98057101
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,5,150,6,4096,965.04,46.56781066
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,150,6,4096,1005.2128,50.4021636
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,7,150,6,4096,1148.7851,63.03354735
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,8,150,6,4096,1270.4952,47.77121551
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,9,150,6,4096,2589.4117,49.48969683
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,1,200,6,4096,8021.1848,26.76401372
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,10,200,6,4096,3282.1974,66.45962245
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,11,200,6,4096,3092.34,66.44437546
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,12,200,6,4096,6728.895,61.71280723
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,2,200,6,4096,3994.663,47.23104302
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,3,200,6,4096,2844.8721,49.49326193
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4,200,6,4096,2698.0687,57.78062656
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,5,200,6,4096,2150.8353,57.84747907
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,200,6,4096,2392.0256,70.66425209
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,7,200,6,4096,2421.8722,63.56107478
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,8,200,6,4096,2903.1926,70.10485629
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,9,200,6,4096,2676.134,70.30556018
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,1,250,6,4096,14967.5888,29.15234416
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,10,250,6,4096,6049.7594,68.86249063
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,11,250,6,4096,7829.9506,69.54467886
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,12,250,6,4096,13414.575,64.08644329
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,2,250,6,4096,7650.0637,43.85320347
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,3,250,6,4096,5425.6885,53.37680186
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4,250,6,4096,4326.130999999999,58.25960887
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,5,250,6,4096,4032.4349,72.0052294
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,250,6,4096,4340.2109,74.92336375
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,7,250,6,4096,4788.1255,79.3971879
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,8,250,6,4096,4319.460999999999,70.7728117
