arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,PS,runtime,power
AdvMicDevBuldzrFX4100_DDR31866_2GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,4,4,2,DDR3,1866,4,100000,1535,1.39364
AdvMicDevBuldzrFX4100_DDR31866_2GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,4,4,2,DDR3,1866,4,500000,7662,1.43362
AdvMicDevBuldzrFX4100_DDR31866_2GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,4,4,2,DDR3,1866,4,1000000,15321,1.43905
AdvMicDevBuldzrFX4100_DDR31866_3GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,4,4,3,DDR3,1866,4,100000,1535,1.39364
AdvMicDevBuldzrFX4100_DDR31866_3GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,4,4,3,DDR3,1866,4,500000,7662,1.43362
AdvMicDevBuldzrFX4100_DDR31866_3GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,4,4,3,DDR3,1866,4,1000000,15321,1.43905
AdvMicDevBuldzrFX4100_DDR31866_4GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,4,4,4,DDR3,1866,4,100000,1535,1.39364
AdvMicDevBuldzrFX4100_DDR31866_4GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,4,4,4,DDR3,1866,4,500000,7662,1.43362
AdvMicDevBuldzrFX4100_DDR31866_4GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,4,4,4,DDR3,1866,4,1000000,15321,1.43905
AdvMicDevBuldzrFX4100_DDR31866_6GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,4,4,6,DDR3,1866,4,100000,1535,1.39364
AdvMicDevBuldzrFX4100_DDR31866_6GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,4,4,6,DDR3,1866,4,500000,7662,1.43362
AdvMicDevBuldzrFX4100_DDR31866_6GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,4,4,6,DDR3,1866,4,1000000,15321,1.43905
AdvMicDevBuldzrFX4100_DDR31866_7GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,4,4,7,DDR3,1866,4,100000,1535,1.39364
AdvMicDevBuldzrFX4100_DDR31866_7GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,4,4,7,DDR3,1866,4,500000,7662,1.43362
AdvMicDevBuldzrFX4100_DDR31866_7GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,4,4,7,DDR3,1866,4,1000000,15321,1.43905
AdvMicDevBuldzrFX4170_DDR31866_2GB,4.2,X86_64,4,64,1,16,16,64,1,1024,64,64,4,8,2,DDR3,1866,4,100000,1315,1.29488
AdvMicDevBuldzrFX4170_DDR31866_2GB,4.2,X86_64,4,64,1,16,16,64,1,1024,64,64,4,8,2,DDR3,1866,4,500000,6558,1.33283
AdvMicDevBuldzrFX4170_DDR31866_2GB,4.2,X86_64,4,64,1,16,16,64,1,1024,64,64,4,8,2,DDR3,1866,4,1000000,13119,1.33779
AdvMicDevBuldzrFX4170_DDR31866_3GB,4.2,X86_64,4,64,1,16,16,64,1,1024,64,64,4,8,3,DDR3,1866,4,100000,1315,1.29488
AdvMicDevBuldzrFX4170_DDR31866_3GB,4.2,X86_64,4,64,1,16,16,64,1,1024,64,64,4,8,3,DDR3,1866,4,500000,6558,1.33283
AdvMicDevBuldzrFX4170_DDR31866_3GB,4.2,X86_64,4,64,1,16,16,64,1,1024,64,64,4,8,3,DDR3,1866,4,1000000,13119,1.33779
AdvMicDevBuldzrFX4170_DDR31866_4GB,4.2,X86_64,4,64,1,16,16,64,1,1024,64,64,4,8,4,DDR3,1866,4,100000,1315,1.29488
AdvMicDevBuldzrFX4170_DDR31866_4GB,4.2,X86_64,4,64,1,16,16,64,1,1024,64,64,4,8,4,DDR3,1866,4,500000,6558,1.33283
AdvMicDevBuldzrFX4170_DDR31866_4GB,4.2,X86_64,4,64,1,16,16,64,1,1024,64,64,4,8,4,DDR3,1866,4,1000000,13119,1.33779
AdvMicDevBuldzrFX4170_DDR31866_6GB,4.2,X86_64,4,64,1,16,16,64,1,1024,64,64,4,8,6,DDR3,1866,4,100000,1315,1.29488
AdvMicDevBuldzrFX4170_DDR31866_6GB,4.2,X86_64,4,64,1,16,16,64,1,1024,64,64,4,8,6,DDR3,1866,4,500000,6558,1.33283
AdvMicDevBuldzrFX4170_DDR31866_6GB,4.2,X86_64,4,64,1,16,16,64,1,1024,64,64,4,8,6,DDR3,1866,4,1000000,13119,1.33779
AdvMicDevBuldzrFX4170_DDR31866_7GB,4.2,X86_64,4,64,1,16,16,64,1,1024,64,64,4,8,7,DDR3,1866,4,100000,1315,1.29488
AdvMicDevBuldzrFX4170_DDR31866_7GB,4.2,X86_64,4,64,1,16,16,64,1,1024,64,64,4,8,7,DDR3,1866,4,500000,6558,1.33283
AdvMicDevBuldzrFX4170_DDR31866_7GB,4.2,X86_64,4,64,1,16,16,64,1,1024,64,64,4,8,7,DDR3,1866,4,1000000,13119,1.33779
AdvMicDevBuldzrFX6100_DDR31866_2GB,3.3,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,2,DDR3,1866,6,100000,1673,1.82141
AdvMicDevBuldzrFX6100_DDR31866_2GB,3.3,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,2,DDR3,1866,6,500000,8347,1.86316
AdvMicDevBuldzrFX6100_DDR31866_2GB,3.3,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,2,DDR3,1866,6,1000000,16700,1.8685
AdvMicDevBuldzrFX6100_DDR31866_3GB,3.3,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,3,DDR3,1866,6,100000,1673,1.82141
AdvMicDevBuldzrFX6100_DDR31866_3GB,3.3,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,3,DDR3,1866,6,500000,8347,1.86316
