arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,num-cpu,bus_speed,runtime,power
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,1,6,4096,3002.5815,29.97500651
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,10,6,4096,2998.9184,36.12955924
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,11,6,4096,3080.3434,37.09255273
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,12,6,4096,2972.3097,38.08341372
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,2,6,4096,3001.4434,38.15910705
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,3,6,4096,3129.3206,35.48217463
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4,6,4096,3185.4770000000003,36.11738525
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,5,6,4096,3048.7634,35.75105238
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,6,4096,2961.7344,39.24153361
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,7,6,4096,3102.1813,28.92806426
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,8,6,4096,2991.1042,28.74737697
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,9,6,4096,2976.4512,35.53483423
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,1,4,4096,3816.3363,12.30832304
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,2,4,4096,6061.5161,6.476580998999999
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,3,4,4096,5634.4068,7.406227751
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,4,4096,7072.0145,5.637474301
lab007068,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2400,1,4,4096,5644.8447,13.42483346
lab007068,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2400,2,4,4096,3615.6518,17.23196907
lab007068,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2400,3,4,4096,4489.12,19.12720088
lab007068,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2400,4,4,4096,3759.0012,18.26998619
lab00801,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,1,4,1024,4849.4848,12.71805203
lab00801,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,2,4,1024,4664.4269,11.20094732
lab00801,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,3,4,1024,3837.1754,20.28129858
lab00801,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,4,4,1024,5486.09,9.060533094
laptop,3.0,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,1,2,4096,4596.5285,10.66265552
laptop,4.0,X86_65,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR4,1600,2,2,4096,4327.8397,10.88184944
