arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,num-cpu,bus_speed,runtime,power
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,1,6,4096,8889.5622,24.19762584
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,10,6,4096,9352.2863,26.64462913
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,11,6,4096,9148.6424,29.95236758
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,12,6,4096,9323.2009,28.71397955
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,2,6,4096,8748.3594,32.40910519
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,3,6,4096,9060.5025,29.07766981
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4,6,4096,8829.3958,31.00496412
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,5,6,4096,9273.7317,31.10687362
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,6,4096,8771.6843,35.61626129
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,7,6,4096,8790.2106,37.33193833
InteCorei78700_DDR42666_16GB,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,8,6,4096,8977.1264,28.74264976
